,duration,lon,trip_id,lat
380,4836,-73.96889,4,40.75011
381,4846,-73.96842,4,40.75075
382,4856,-73.96786,4,40.75153
383,4866,-73.96783,4,40.75161
384,4876,-73.96778,4,40.75171
385,4886,-73.96768,4,40.752
386,4896,-73.96765,4,40.75206
387,4906,-73.96724,4,40.75264
388,4916,-73.96715,4,40.75274
389,4926,-73.96705,4,40.7528
390,4936,-73.96674,4,40.75318
391,4946,-73.96662,4,40.75335
392,4956,-73.96649,4,40.7535
393,4966,-73.96642,4,40.75353
394,4976,-73.96616,4,40.75388
395,4986,-73.96523,4,40.75514
396,4996,-73.96479,4,40.75575
397,5006,-73.96715,4,40.75676
398,5016,-73.96761,4,40.75615
399,5026,-73.96739,4,40.75605
400,5034,-73.96739,5,40.75605
401,5042,-73.96761,5,40.75615
402,5050,-73.96806,5,40.75551
403,5058,-73.96897,5,40.75425
404,5066,-73.97034,5,40.75237
405,5074,-73.97193,5,40.75019
406,5082,-73.97361,5,40.74793
407,5090,-73.97444,5,40.74679
408,5098,-73.97457,5,40.74657
409,5106,-73.97466,5,40.74644
410,5114,-73.97494,5,40.74607
411,5122,-73.9758,5,40.74491
412,5130,-73.97588,5,40.74479
413,5138,-73.97569,5,40.74471
414,5146,-73.97524,5,40.74451
415,5154,-73.97332,5,40.74371
416,5162,-73.97206,5,40.74319
417,5170,-73.97192,5,40.7432
418,5178,-73.9721,5,40.74284
419,5186,-73.97224,5,40.74242
420,5194,-73.97234,5,40.74197
421,5202,-73.97233,5,40.74195
422,5210,-73.9721,5,40.74192
423,5218,-73.97233,5,40.7407
424,5226,-73.97236,5,40.74069
425,5234,-73.97245,5,40.7407
426,5242,-73.97256,5,40.74014
427,5250,-73.97255,5,40.74011
428,5258,-73.9725,5,40.74007
429,5266,-73.97248,5,40.74003
430,5274,-73.97269,5,40.73926
431,5282,-73.97269,5,40.73891
432,5290,-73.97269,5,40.73886
433,5298,-73.97297,5,40.73895
434,5306,-73.9731,5,40.73866
435,5314,-73.97325,5,40.73841
436,5322,-73.97415,5,40.73715
437,5330,-73.97424,5,40.73702
438,5338,-73.97423,5,40.73698
439,5346,-73.97423,5,40.73695
440,5354,-73.97423,5,40.73692
441,5362,-73.97437,5,40.7367
442,5370,-73.97445,5,40.73652
443,5378,-73.97459,5,40.73594
444,5386,-73.97467,5,40.73568
445,5394,-73.97468,5,40.7356
446,5402,-73.97466,5,40.73551
447,5410,-73.97468,5,40.73538
448,5418,-73.97467,5,40.73528
449,5426,-73.9746,5,40.73499
450,5434,-73.97457,5,40.73495
451,5442,-73.97457,5,40.73489
452,5450,-73.97456,5,40.73478
453,5458,-73.97446,5,40.73434
454,5466,-73.97405,5,40.7328
455,5474,-73.97386,5,40.7319
456,5482,-73.9738,5,40.73173
457,5490,-73.97369,5,40.73157
458,5498,-73.97365,5,40.73152
459,5506,-73.97364,5,40.73149
460,5514,-73.97326,5,40.73103
461,5522,-73.97267,5,40.73053
462,5530,-73.97211,5,40.7301
463,5538,-73.97189,5,40.72987
464,5546,-73.97165,5,40.72953
465,5554,-73.97148,5,40.72913
466,5562,-73.97145,5,40.72884
467,5570,-73.97146,5,40.72871
468,5578,-73.97155,5,40.72808
469,5586,-73.97159,5,40.72786
470,5594,-73.97163,5,40.72776
471,5602,-73.97167,5,40.72754
472,5610,-73.97173,5,40.72695
473,5618,-73.97182,5,40.72655
474,5626,-73.97191,5,40.72627
475,5634,-73.97208,5,40.72587
476,5642,-73.97237,5,40.72533
477,5650,-73.97281,5,40.72462
478,5658,-73.97304,5,40.72426
